family,variable,domain,citation,doi,year,population,sample_size_raw,sample_size_n,direction,direction_sign,effect_size_raw,effect_value,effect_type,p_value_raw,p_value_num,p_op,p_source,parsed_effect,parsed_p
hurst,DFA scaling exponent,meditation,"Sarkar S, Barat P (2008). Effect of meditation on scaling behavior and complexity of human heart rate variability. Fractals 16(3):199-208.",,2008,Chi-meditation practitioners (small sample; exact n not independently confirmed beyond secondary-source citation),"not independently confirmed (small, likely single-digit to low-teens)",,down (decimated long-range correlation during meditation),-1,not extracted,,,not extracted,,,,False,False
hurst,"Long-range correlation / scaling exponent (wavelet-based, Hurst-related)",meditation,"Papasimakis N, Pallikari F (2009). Breakdown of Long-Range Correlations in Heart Rate Fluctuations During Meditation. (arXiv:0901.4295; also published version per Deka & Deka 2023 review).",,2009,"Meditators, wavelet-coefficient / long-range correlation analysis",8 (per Deka & Deka 2023 secondary citation),2023,down (correlations weaken significantly at longer time scales during meditation; periodicity dominates short scales),-1,not extracted,,,p<0.05 (per Deka & Deka 2023 secondary citation),0.05,<,pfield,False,True
hurst,Fractal dimension,meditation,"Raghavendra BM, Dutt DN (2011). [Fractal dimension / meditation HRV study, as cited in Deka & Deka 2023 review].",,2011,Meditators,12 (per Deka & Deka 2023 secondary citation),12,down (significantly lower fractal dimension during meditation),-1,not extracted,,,p<0.05 (per Deka & Deka 2023 secondary citation),0.05,<,pfield,False,True
hurst,"Hurst exponent (time-variant, R/S analysis)",meditation,"Alvarez-Ramirez J, Rodriguez E, Echeverria JC (2017). Fractal scaling behavior of heart rate variability in response to meditation techniques. Chaos Solitons Fractals 99:57-62.",10.1016/j.chaos.2017.03.039 (approx; verify against publisher record),2017,"8 novice + 4 advanced meditation practitioners (Chi/Kundalini-yoga-type techniques), R/S (rescaled-range) analysis",12,12,"down (decrement in Hurst exponent during meditation, toward uncorrelated dynamics; effect more pronounced in advanced practitioners, values approaching 0.5)",-1,not extracted (qualitative decrement reported),,,not reported per secondary-source extraction,,,,False,False
hurst,DFA α1 and α2,meditation,"Guo M, et al. (2019). Activation of sympathetic nervous system as a biomarker for deep meditation. 2019 9th International IEEE/EMBS Conference on Neural Engineering (NER).",,2019,Deep-meditation practitioners,70 (per Deka & Deka 2023 secondary citation),70,up (CONTRARY finding: significant INCREASE in both α1 and α2 during deep meditation),1,not extracted,,,p<0.05 (per Deka & Deka 2023 secondary citation),0.05,<,pfield,False,True
hurst,DFA α1 (and sample entropy) in response to acute stressors,meditation,[Authors not fully resolved] (2026). Mindfulness-based intervention alters nonlinear heart rate variability in a pilot study. Discover Mental Health. DOI:10.1007/s44192-026-00444-1.,10.1007/s44192-026-00444-1,2026,"25 first-year college students, 6-week MBI program vs. active control, HRV assessed in response to acute stressors",25,25,"down (mindfulness group showed significantly lower DFA α1 and higher entropy vs. control post-intervention, with no RMSSD/HR difference)",-1,not fully extracted (qualitative 'significantly lower/higher'),,,reported significant; exact value not extracted,,,,False,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Greenland et al. 1999, women — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"US, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=14994, deaths=1693",14994,up (higher resting HR -> higher all-cause mortality risk),1,"RR 0.970 (95% CI 0.850-1.120) per 10 bpm resting HR, all-cause mortality",0.97,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Cheng et al. 2002 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"US, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=27459, deaths=724",27459,up (higher resting HR -> higher all-cause mortality risk),1,"RR 0.980 (95% CI 0.900-1.080) per 10 bpm resting HR, all-cause mortality",0.98,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Reunanen et al. 2000, men — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Finland3, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=5598, deaths=1848",5598,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.010 (95% CI 0.990-1.030) per 10 bpm resting HR, all-cause mortality",1.01,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Adabag et al. 2008 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"US, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=12555, deaths=4642",12555,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.010 (95% CI 1.000-1.020) per 10 bpm resting HR, all-cause mortality",1.01,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Reunanen et al. 2000, women — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Finland3, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=5119, deaths=840",5119,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.010 (95% CI 0.990-1.040) per 10 bpm resting HR, all-cause mortality",1.01,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Saxena et al. 2013 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"US, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=53322, deaths=3125",53322,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.010 (95% CI 1.000-1.020) per 10 bpm resting HR, all-cause mortality",1.01,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Nilsson et al. 2001, women — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Sweden, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=10902, deaths=397",10902,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.020 (95% CI 0.920-1.150) per 10 bpm resting HR, all-cause mortality",1.02,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Greenland et al. 1999, men — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"US, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=18787, deaths=3384",18787,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.030 (95% CI 0.960-1.110) per 10 bpm resting HR, all-cause mortality",1.03,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Legeai et al. 2011 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"France, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=7147, deaths=615",7147,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.040 (95% CI 1.010-1.080) per 10 bpm resting HR, all-cause mortality",1.04,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Benetos et al. 1999, men — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"France, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=12123, deaths=2036",12123,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.050 (95% CI 1.030-1.070) per 10 bpm resting HR, all-cause mortality",1.05,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Benetos et al. 1999, women — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"France, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=7263, deaths=610",7263,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.050 (95% CI 1.040-1.060) per 10 bpm resting HR, all-cause mortality",1.05,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Seccareccia et al. 2001 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Italy, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=2533, deaths=350",2533,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.060 (95% CI 1.030-1.100) per 10 bpm resting HR, all-cause mortality",1.06,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Savonen et al. 2006 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Finland, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=1378, deaths=146",1378,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.060 (95% CI 0.940-1.200) per 10 bpm resting HR, all-cause mortality",1.06,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Kristal-Boneh et al. 2000 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Israel, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=3537, deaths=135",3537,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.070 (95% CI 1.020-1.120) per 10 bpm resting HR, all-cause mortality",1.07,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Okamura et al. 2004, women — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Japan, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=5906, deaths=731",5906,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.070 (95% CI 0.910-1.260) per 10 bpm resting HR, all-cause mortality",1.07,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Floyd et al. 2014 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"US, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=1991, deaths=1326",1991,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.080 (95% CI 1.010-1.160) per 10 bpm resting HR, all-cause mortality",1.08,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"O Hartaigh et al. 2014 (NSHD) — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"NSHD; cohort in Zhang, Shen & Qi (2016), CMAJ","n=2865, deaths=246",2865,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.080 (95% CI 1.030-1.130) per 10 bpm resting HR, all-cause mortality",1.08,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Jensen et al. 2011 (a) — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"a (Denmark); cohort in Zhang, Shen & Qi (2016), CMAJ","n=16516, deaths=8709",16516,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.080 (95% CI 1.040-1.120) per 10 bpm resting HR, all-cause mortality",1.08,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Tverdal et al. 2008, women — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Norway, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=199490, deaths=3895",199490,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.090 (95% CI 1.060-1.120) per 10 bpm resting HR, all-cause mortality",1.09,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Mai et al. 2009 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"China, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=9856, deaths=1523",9856,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.100 (95% CI 1.000-1.220) per 10 bpm resting HR, all-cause mortality",1.1,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Okamura et al. 2004, men — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Japan, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=4640, deaths=875",4640,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.110 (95% CI 0.980-1.260) per 10 bpm resting HR, all-cause mortality",1.11,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Jensen et al. 2011 (b) — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"b (Denmark); cohort in Zhang, Shen & Qi (2016), CMAJ","n=16516, deaths=8709",16516,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.110 (95% CI 1.080-1.140) per 10 bpm resting HR, all-cause mortality",1.11,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Hansen et al. 2008 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Multiple, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=6928, deaths=850",6928,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.120 (95% CI 1.030-1.210) per 10 bpm resting HR, all-cause mortality",1.12,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Kado et al. 2002 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"US, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=9702, deaths=1947",9702,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.120 (95% CI 1.070-1.170) per 10 bpm resting HR, all-cause mortality",1.12,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Cooney et al. 2010, men — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Finland, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=10519, deaths=806",10519,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.120 (95% CI 1.070-1.180) per 10 bpm resting HR, all-cause mortality",1.12,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Cooney et al. 2010, women — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Finland, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=11334, deaths=408",11334,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.140 (95% CI 1.060-1.220) per 10 bpm resting HR, all-cause mortality",1.14,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Tverdal et al. 2008, men — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Norway, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=180353, deaths=5056",180353,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.140 (95% CI 1.110-1.170) per 10 bpm resting HR, all-cause mortality",1.14,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Ho et al. 2014 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"US, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=4058, deaths=1186",4058,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.150 (95% CI 1.100-1.210) per 10 bpm resting HR, all-cause mortality",1.15,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Nilsson et al. 2001, men — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Sweden, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=22444, deaths=1902",22444,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.170 (95% CI 1.120-1.230) per 10 bpm resting HR, all-cause mortality",1.17,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Wang et al. 2014 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"China, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=92562, deaths=1589",92562,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.180 (95% CI 1.130-1.230) per 10 bpm resting HR, all-cause mortality",1.18,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Mensink et al. 1997, women — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Germany, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=2929, deaths=207",2929,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.180 (95% CI 1.050-1.340) per 10 bpm resting HR, all-cause mortality",1.18,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Inoue et al. 2012 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Japan, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=2583, deaths=454",2583,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.230 (95% CI 1.120-1.350) per 10 bpm resting HR, all-cause mortality",1.23,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Johansen et al. 2013 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Denmark, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=653, deaths=80",653,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.230 (95% CI 1.020-1.490) per 10 bpm resting HR, all-cause mortality",1.23,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Mensink et al. 1997, men — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Germany, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=1827, deaths=205",1827,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.300 (95% CI 1.160-1.460) per 10 bpm resting HR, all-cause mortality",1.3,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Woodward et al. 2012 — cohort-level estimate extracted from Zhang, Shen & Qi (2016), CMAJ (doi:10.1503/cmaj.150535), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1503/cmaj.150535,,"Asia-Pacific region, cohort in Zhang, Shen & Qi (2016), CMAJ meta-analysis","n=112680, deaths=6086",112680,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.400 (95% CI 1.330-1.480) per 10 bpm resting HR, all-cause mortality",1.4,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Hoes et al. 1993 (Zoetermeer), men — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"Zoetermeer; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=6057, deaths=307",6057,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.100 (95% CI 1.010-1.200) per 10 bpm resting HR, all-cause mortality",1.1,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Hoes et al. 1993 (Zoetermeer), women — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"Zoetermeer; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=6057, deaths=270",6057,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.020 (95% CI 0.930-1.130) per 10 bpm resting HR, all-cause mortality",1.02,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Kikuya et al. 2008 (Ohasama) — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"Ohasama; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=2455, deaths=462",2455,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.277 (95% CI 1.143-1.414) per 10 bpm resting HR, all-cause mortality (rescaled to per-10bpm from the study's originally reported per-X-bpm estimate assuming log-linearity)",1.2768,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Puddu et al. 2011 (Seven Countries) — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"Seven Countries; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=6554, deaths=5590",6554,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.056 (95% CI 1.032-1.079) per 10 bpm resting HR, all-cause mortality (rescaled to per-10bpm from the study's originally reported per-X-bpm estimate assuming log-linearity)",1.0556,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Pittaras et al. 2013 (VA Med Centers) — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"VA Med Centers; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=18462, deaths=5100",18462,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.094 (95% CI 1.062-1.116) per 10 bpm resting HR, all-cause mortality (rescaled to per-10bpm from the study's originally reported per-X-bpm estimate assuming log-linearity)",1.0937,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Stessman et al. 2013 (Jerusalem), age 70-77 — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"Jerusalem; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=2353, deaths=635",2353,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.130 (95% CI 0.870-1.470) per 10 bpm resting HR, all-cause mortality",1.13,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Stessman et al. 2013 (Jerusalem), age 78-84 — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"Jerusalem; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=2353, deaths=635",2353,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.350 (95% CI 1.110-1.650) per 10 bpm resting HR, all-cause mortality",1.35,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Stessman et al. 2013 (Jerusalem), age 85-90 — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"Jerusalem; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=2353, deaths=635",2353,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.170 (95% CI 1.010-1.370) per 10 bpm resting HR, all-cause mortality",1.17,RR,,,,,True,False
hr_level,"resting heart rate (cohort-level, per 10 bpm increment)",clinical,"Korshoj et al. 2015 (Belgian Fitness) — cohort-level estimate extracted from Aune et al. (2017), Nutr Metab Cardiovasc Dis (doi:10.1016/j.numecd.2017.04.004), all-cause mortality, resting HR per 10 bpm [source=cohort-pull]",10.1016/j.numecd.2017.04.004,,"Belgian Fitness; cohort in Aune et al. (2017), Nutr Metab Cardiovasc Dis","n=439, deaths=48",439,up (higher resting HR -> higher all-cause mortality risk),1,"RR 1.340 (95% CI 0.980-1.830) per 10 bpm resting HR, all-cause mortality",1.34,RR,,,,,True,False
